Přídavné jméno,Valence,Arousal,Průměrná kombinovaná odchylka,Počet hodnocení
agresivní,Negativní,Vysoký,0.55,64
bezradný,Negativní,Střední,0.48,63
běžný,Neutrální,Nízký,0.34,65
depresivní,Negativní,Nízký,0.47,63
drsný,Negativní,Vysoký,0.56,66
extrémní,Neutrální,Vysoký,0.52,63
fantastický,Pozitivní,Vysoký,0.41,63
hrozivý,Negativní,Vysoký,0.59,63
mohutný,Neutrální,Střední,0.38,63
nadšený,Pozitivní,Vysoký,0.36,66
nedůvěřivý,Negativní,Střední,0.49,62
nepříjemný,Negativní,Střední,0.51,63
neutrální,Neutrální,Nízký,0.33,36
neuvěřitelný,Pozitivní,Vysoký,0.42,62
nudný,Negativní,Nízký,0.39,62
obyčejný,Neutrální,Nízký,0.35,62
pohodový,Pozitivní,Střední,0.37,62
pochmurný,Negativní,Nízký,0.44,66
poklidný,Neutrální,Nízký,0.29,63
prudký,Negativní,Vysoký,0.53,63
přátelský,Pozitivní,Střední,0.35,62
příjemný,Pozitivní,Střední,0.32,62
skleslý,Negativní,Nízký,0.45,63
spící,Neutrální,Nízký,0.31,62
spokojený,Pozitivní,Střední,0.39,62
střední,Neutrální,Nízký,0.28,62
uvolněný,Pozitivní,Nízký,0.30,63
zamračený,Negativní,Nízký,0.40,63
zuřivý,Negativní,Vysoký,0.58,63
zvyklý,Neutrální,Nízký,0.36,62
